ID,Slope,Yintercept,Lower Intercept,Upper Intercept,Likelihood,normalized
17060,0.0479674785825916,0.0968140853587192,1.22e+09,1.63e+09,1867.21259214152,8.2620026200952
17061,0.0477533128981716,0.0973120542766038,1.22e+09,1.64e+09,1858.7119571464,8.22438919091329
17062,0.0475397319663234,0.0978086635527407,1.22e+09,1.65e+09,1850.49475867601,8.18802990564608
17063,0.0473267366572882,0.0983039111636826,1.22e+09,1.66e+09,1842.47493244831,8.15254394888633
17064,0.04711432782516,0.098797795123526,1.22e+09,1.67e+09,1834.56645524411,8.11755068692082
17065,0.046902506307873,0.0992903134839428,1.22e+09,1.68e+09,1826.68509255096,8.08267740066795
17066,0.046691272927188,0.0997814643342091,1.22e+09,1.69e+09,1818.75012805765,8.0475669383082
17067,0.0464806284886826,0.100271245801231,1.22e+09,1.7e+09,1810.6860221791,8.01188505388983
17068,0.0462705737817404,0.100759656049566,1.22e+09,1.71e+09,1802.42394476433,7.97532718922271
17069,0.0460611095795425,0.101246693281448,1.22e+09,1.72e+09,1793.9031279671,7.9376244600314
17070,0.0458522366390601,0.101732355736799,1.22e+09,1.73e+09,1785.07198909922,7.89854862433281
17071,0.0456439557010475,0.102216641693249,1.22e+09,1.74e+09,1775.88898010213,7.85791584115988
17072,0.0454362674900376,0.102699549466145,1.22e+09,1.75e+09,1766.32312981464,7.81558906997627
17073,0.0452291727143367,0.103181077408563,1.22e+09,1.76e+09,1756.35425704708,7.77147901348267
17074,0.0450226720660226,0.103661223911313,1.22e+09,1.77e+09,1745.97284598961,7.72554356632571
17075,0.0448167662209419,0.104139987402946,1.22e+09,1.78e+09,1735.179589951,7.67778579624337
17076,0.0446114558387098,0.104617366349753,1.22e+09,1.79e+09,1723.98462403446,7.62825054882504
17077,0.0444067415627104,0.105093359255764,1.22e+09,1.8e+09,1712.40648127064,7.57701982863115
17078,0.0442026240200983,0.105567964662746,1.22e+09,1.81e+09,1700.470819139,7.52420716433184
17079,0.0439991038218013,0.106041181150196,1.22e+09,1.82e+09,1688.20897359438,7.46995121059461
17080,0.0437961815625248,0.106513007335331,1.22e+09,1.83e+09,1675.65640508401,7.41440887205315
17081,0.043593857820756,0.106983441873076,1.22e+09,1.84e+09,1662.85110516762,7.35774825295405
17082,0.0433921331587704,0.107452483456052,1.22e+09,1.85e+09,1649.83203301297,7.30014173899544
17083,0.0431910081226396,0.107920130814557,1.22e+09,1.86e+09,1636.63764820723,7.24175950534174
17084,0.0429904832422391,0.108386382716548,1.22e+09,1.87e+09,1623.30460018981,7.18276371765404
17085,0.042790559031258,0.108851237967616,1.22e+09,1.88e+09,1609.86662554925,7.12330365287278
17086,0.0425912359872098,0.109314695410964,1.22e+09,1.89e+09,1596.35369297847,7.06351191583392
17087,0.0423925145914442,0.109776753927377,1.22e+09,1.9e+09,1582.79142251843,7.0035018695506
17088,0.0421943953091601,0.110237412435197,1.22e+09,1.91e+09,1569.2007915925,6.94336633448008
17089,0.0419968785894191,0.110696669890283,1.22e+09,1.92e+09,1555.59812603191,6.88317754881378
17090,0.0417999648651614,0.111154525285982,1.22e+09,1.93e+09,1541.99536058996,6.82298832119451
17091,0.0416036545532215,0.111610977653087,1.22e+09,1.94e+09,1528.40054105165,6.76283425244095
17092,0.0414079480543455,0.112066026059802,1.22e+09,1.95e+09,1514.81852958075,6.70273685655199
17093,0.04121284575321,0.112519669611691,1.22e+09,1.96e+09,1501.25186688166,6.64270737558255
17094,0.041018348018441,0.112971907451643,1.22e+09,1.97e+09,1487.70173941228,6.58275105934638
17095,0.0408244552026351,0.113422738759814,1.22e+09,1.98e+09,1474.16899741426,6.52287166997461
17096,0.0406311676423805,0.113872162753584,1.22e+09,1.99e+09,1460.65516991128,6.46307597305876
17097,0.0404384856582805,0.1143201786875,1.22e+09,2e+09,1447.16342588633,6.40337799064746
17098,0.0565306439031994,0.0769188788971658,1.23e+09,1.24e+09,2438.23210005967,10.7886376108835
